application,application_env,environment_master,cluster,namespace,manual_build,manual_deploy,registry_name
airtel-africa,dev-zm,dev,airtel-zm,dev-zm,true,true,bp
airtel-africa,qa-zm,qa,airtel-zm,qa-zm,true,true,bp
airtel-africa,prod-zm,prod,airtel-zm,prod-zm,true,true,bp
airtel-africa,dev-ug,dev,airtel-ug,dev-ug,true,true,bp
airtel-africa,qa-ug,qa,airtel-ug,qa-ug,true,true,bp
airtel-africa,prod-ug,prod,airtel-ug,prod-ug,true,true,bp
airtel-africa,dev-ke,dev,airtel-ke,dev-ke,true,true,bp
airtel-africa,qa-ke,qa,airtel-ke,qa-ke,true,true,bp
airtel-africa,prod-ke,prod,airtel-ke,prod-ke,true,true,bp
